text;created_at;source
"@IcarusArtista Hoi, me achamo Alexia, sou Designer Gráfica e desenhista, fazia muito tradicional, atualmente cá estou em no digital, gosto do estilo anime/game, gosto de desenhar coisas fofas e darks tbm kkkkk  bem fan de pokemon também xD. 
meu insta 
https://t.co/TLu3Tdmxhx https://t.co/T29KiCx39K";2022-05-17 19:45:55+00:00;Twitter Web App
"a cada dia que passa, há pelo menos 2 anos, eu percebo que não quero mais trabalhar com gráfica/impressos/festa/decoradores/grandes formatos... me encontrei no digital!

quero paz e sossego e isso só é possivel estando longe das pessoas que cercam esse ramo.";2022-05-17 13:12:52+00:00;Twitter Web App
@clarionrox @TZMporra @2Casa11 @DarioFerrarij @muitoalemck @vickrongo @moan_zero @_caliman @ConfederacaoS @gigi_dutra @FrancisBlacKn @ancaploide @COMUNADEPARlS @Srpobretao @joaodorojao @AlexandreFenel1 @anay_rchist @Ana84450795 @ancapnordestino @popoukitty @de_werlang @WyattTorch @VisVoluntary @remixdextrogiro @anarcanudos @Anarco_Daoista @WonderOfYou1 @fuckhaos @acredomina @EstatismoLibert @papaleguasancap @Nato_Pajeu @brunorm360 @BornToRebellion Claro q não, preço é analise tecnica/gráfica entre outras. Fundamento é a utilidade do ativo. No Caso do BTC é muito complicar ver isso pois ele não é como uma empresa que tem lucros ou um caixa ali, é só um ativo digital escasso. Mas as características que tentam sanar a demanda;2022-05-17 11:30:18+00:00;Twitter for Android
@itsdreexie Alexia, designer gráfica e desenhista, ultimamente estou mais no digital, esses foram meus draws recentes hehe espero que gostem https://t.co/9wHSKmCRyz;2022-05-17 02:32:28+00:00;Twitter for Android
"@BBMangas Para eu ir para o digital o preço tem que fazer valer, afinal se a alegação do valor absurdo é o custo de papel e gráfica por que a versão digital sai tão cara?
Só ver a jbc que acredito eu ser a que mais lança nesse formato.
Metade do valor de uma edição física, acho caro!
+";2022-05-16 22:28:43+00:00;Twitter for Android
"Lembrando: o material é em PDF são 322 páginas e você receberá por e-mail após o comprovante

VOCÊ PODE USAR O MATERIAL DIGITAL OU IR ATÉ UMA GRÁFICA FAZER A IMPRESSÃO ❤️🤩";2022-05-16 20:46:30+00:00;Twitter for iPhone
Feed e storys para redes sociais (Instagram, Facebook, WhatsApp, LinkedIn, Twitter...), cartão de visita interativo, panfletos para supermercados, farmácias etc., todos com seu logotipo e redes sociais. Artes e diagramação em geral. GRÁFICA DIGITAL. https://t.co/6el4FnksWO;2022-05-16 13:00:14+00:00;Twitter Web App
"Criart Digital

@criartdigitalirati

Comunicação visual e gráfica completa.
Nós temos a solução que a sua empresa precisa.
(42) 3423-2063 - 99800-2295 (whatsapp)

#comunicaçãovisual #adesivo #cortepersonalizado #3m #graficadigital #impressaodigital #grafica #cartaofidelidade https://t.co/q3K4OEj6ZY";2022-05-16 11:02:20+00:00;Etus Brasil
"RT @ranoya: Arqueologia digital.
Ferramentas de produção gráfica do final da década de 80 e começo da década de 90.

É como encontrar uma c…";2022-05-16 10:52:23+00:00;Twitter Web App
"RT @ranoya: Arqueologia digital.
Ferramentas de produção gráfica do final da década de 80 e começo da década de 90.

É como encontrar uma c…";2022-05-16 10:35:26+00:00;Twitter for Android
